userId,fullVisitorId,visitId,visitNumber,f0_,visits,hits,pageviews,time_on_site,total_transactions,total_revenue,product_category,product_name,product_sku,product_price_valid,product_quantity,product_revenue,socialEngagementType
,0099448207973363509,1497813296,1,date,1,13,13,225,1,17.99,Apparel,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,GGOEGAAL010617,17.99,1,17.99,Not Socially Engaged
,0306177142313155903,1497839432,1,date,1,29,22,602,1,33.98,Apparel,YouTube Twill Cap,GGOEYHPB072210,12.99,1,12.99,Not Socially Engaged
,0306177142313155903,1497839432,1,date,1,29,22,602,1,33.98,Apparel,YouTube Men's Short Sleeve Hero Tee Charcoal,GGOEYAAJ032514,20.99,1,20.99,Not Socially Engaged
,0973548621648537135,1497824536,2,date,1,31,26,1098,1,41.49,Apparel,Google Men's Short Sleeve Performance Badge Tee Charcoal,GGOEGAAJ057015,41.49,1,41.49,Not Socially Engaged
,9578964619917220172,1497841898,1,date,1,11,11,317,1,22.99,Apparel,Google Men's Bike Short Sleeve Tee Charcoal,GGOEGAAJ080615,22.99,1,22.99,Not Socially Engaged
,3456917496701100082,1497841995,1,date,1,14,14,436,1,14.59,Apparel,Google Infant Short Sleeve Tee White,GGOEGAWQ062249,14.59,1,14.59,Not Socially Engaged
,5520985287231906451,1497804967,1,date,1,17,15,519,1,79.98,Apparel,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,GGOEGAAL010614,20.49,1,20.49,Not Socially Engaged
,5520985287231906451,1497804967,1,date,1,17,15,519,1,79.98,Apparel,Google Men's  Zip Hoodie,GGOEGAFB035814,59.49,1,59.49,Not Socially Engaged
,9652788542912871580,1497827874,1,date,1,18,16,934,1,54.97,Apparel,Google Twill Cap,GGOEGHPB071610,13.323333,1,13.323333,Not Socially Engaged
,9652788542912871580,1497827874,1,date,1,18,16,934,1,54.97,Apparel,Android Men's Outerstellar Short Sleeve Tee Black,GGOEAAAB081014,22.323333,1,22.323333,Not Socially Engaged
,9652788542912871580,1497827874,1,date,1,18,16,934,1,54.97,Apparel,Google Men's 100% Cotton Short Sleeve Hero Tee Black,GGOEGAAB010514,19.323333,1,19.323333,Not Socially Engaged
,5379904968575020585,1497830750,1,date,1,19,15,360,1,34.19,Apparel,Google Baby Essentials Set,GGOEGAWQ062949,34.19,1,34.19,Not Socially Engaged
,2907313716699844462,1497829740,2,date,1,20,20,859,1,17.19,Apparel,Android Men's Take Charge Short Sleeve Tee Purple,GGOEAAAP081214,17.19,1,17.19,Not Socially Engaged
,2801809770400921777,1497826557,1,date,1,24,22,582,1,31.19,Apparel,Google Baby Essentials Set,GGOEGAWQ062948,31.19,1,31.19,Not Socially Engaged
,9220624765783417577,1497800147,1,date,1,26,24,747,1,19.59,Apparel,Google Men's 100% Cotton Short Sleeve Hero Tee White,GGOEGAAQ010415,19.59,1,19.59,Not Socially Engaged
,840085197489168186,1497822914,3,date,1,26,21,1026,1,28.78,Lifestyle,Compact Selfie Stick,GGOEGFQB013799,9.19,1,9.19,Not Socially Engaged
,840085197489168186,1497822914,3,date,1,26,21,1026,1,28.78,Bags,Suitcase Organizer Cubes,GGOEGCMB020932,19.59,1,19.59,Not Socially Engaged
,6722355366831429055,1497808648,10,date,1,26,16,518,1,66.59,Apparel,Google Men's Watershed Full Zip Hoodie Grey,GGOEGADJ056815,66.59,1,66.59,Not Socially Engaged
,597489337358394308,1497815340,5,date,1,26,21,687,1,38.98,Apparel,Google Twill Cap,GGOEGHPB071610,15.49,1,15.49,Not Socially Engaged
,597489337358394308,1497815340,5,date,1,26,21,687,1,38.98,Apparel,Google Women's Short Sleeve Hero Tee Heather,GGOEGALJ073314,23.49,1,23.49,Not Socially Engaged
,2573691084209115534,1497819668,1,date,1,35,23,735,1,44.98,Apparel,Android Infant Short Sleeve Tee Pewter,GGOEAAWJ062549,14.09,1,14.09,Not Socially Engaged
,2573691084209115534,1497819668,1,date,1,35,23,735,1,44.98,Apparel,Google Infant Zip Hood Royal Blue,GGOEGAWC062850,30.89,1,30.89,Not Socially Engaged
,2940621972871301246,1497831592,3,date,1,39,26,1040,1,74.75,Apparel,Google Men's Vintage Badge Tee Black,GGOEGAAB033815,13.79,1,13.79,Not Socially Engaged
,2940621972871301246,1497831592,3,date,1,39,26,1040,1,74.75,Apparel,Google Men's Vintage Badge Tee Sage,GGOEGAAH034015,13.79,1,13.79,Not Socially Engaged
,2940621972871301246,1497831592,3,date,1,39,26,1040,1,74.75,Apparel,Google Men's Short Sleeve Performance Badge Tee Black,GGOEGAAB058915,15.64,2,31.28,Not Socially Engaged
,2940621972871301246,1497831592,3,date,1,39,26,1040,1,74.75,Apparel,Google Men's Short Sleeve Performance Badge Tee Pewter,GGOEGAAJ059115,15.89,1,15.89,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Apparel,YouTube Men's Vintage Tank,GGOEYAEB035616,11.883333,1,11.883333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Apparel,Google Women's Long Sleeve Tee Lavender,GGOEGALP036314,13.563333,1,13.563333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Apparel,Google Men's Short Sleeve Hero Tee Light Blue,GGOEGAAC032115,15.323333,1,15.323333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Bags,Sport Bag,GGOEGBMJ013399,4.02333325,4,16.093333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Drinkware,Google 17oz Stainless Steel Sport Bottle,GGOEGDHC074099,15.323333,1,15.323333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Electronics,Recycled Mouse Pad,GGOEGODR017799,1.23333325,4,4.933333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,${productitem.product.origCatName},Galaxy Screen Cleaning Cloth,GGOEGOFH020299,1.5995237857142857,14,22.393333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Fun,Google Luggage Tag,GGOEGOBC078699,7.2122221666666668,6,43.273333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Office,Rubber Grip Ballpoint Pen 4 Pack,GGOEGOAA017199,3.9933333249999996,40,159.733333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Office,Google Metallic Notebook Set,GGOEGOLC014299,4.82333325,4,19.293333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Office,YouTube Leatherette Notebook Combo,GGOEYOLR018699,5.62333325,4,22.493333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Office,Switch Tone Color Crayon Pen,GGOEGKAA019299,1.723333,1,1.723333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Office,Pen Pencil & Highlighter Set,GGOEGOAQ018099,3.323333,1,3.323333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Office,Four Color Retractable Pen,GGOEGOAQ020099,2.523333,1,2.523333,Not Socially Engaged
,2623046443543317941,1497823002,3,date,1,44,33,789,1,354.4,Drinkware,Google 22 oz Water Bottle,GGOEGDHC018299,2.523333,1,2.523333,Not Socially Engaged
,924091465796731445,1497819178,4,date,1,46,36,850,1,54.88,Apparel,Google Men's Short Sleeve Hero Tee Charcoal,GGOEGAAJ032317,16.44,1,16.44,Not Socially Engaged
,924091465796731445,1497819178,4,date,1,46,36,850,1,54.88,Apparel,Google Twill Cap,GGOEGHPB071610,10.04,1,10.04,Not Socially Engaged
,924091465796731445,1497819178,4,date,1,46,36,850,1,54.88,Apparel,Google Men's 100% Cotton Short Sleeve Hero Tee Black,GGOEGAAB010517,14.84,1,14.84,Not Socially Engaged
,924091465796731445,1497819178,4,date,1,46,36,850,1,54.88,Apparel,Google Men's Performance Hero Tee Gunmetal,GGOEGAAJ073017,13.56,1,13.56,Not Socially Engaged
,0365800323147392278,1497846115,10,date,1,47,38,1306,2,53.36,Apparel,Google Men's Bayside Graphic Tee,GGOEGAAC035014,17.24,2,34.48,Not Socially Engaged
,0365800323147392278,1497846115,10,date,1,47,38,1306,2,53.36,Apparel,Google Men's Long Sleeve Raglan Ocean Blue,GGOEGAEC033114,16.49,1,16.49,Not Socially Engaged
,0365800323147392278,1497846115,10,date,1,47,38,1306,2,53.36,Drinkware,Google 22 oz Water Bottle,GGOEGDHC018299,7.39,1,7.39,Not Socially Engaged
,9786438806019918915,1497837311,4,date,1,47,39,902,1,66.54,Headgear,Google 5-Panel Cap,GGOEGHPJ080110,15.39,1,15.39,Not Socially Engaged
,9786438806019918915,1497837311,4,date,1,47,39,902,1,66.54,Office,Google Laptop and Cell Phone Stickers,GGOEGFKQ020399,2.49,2,4.98,Not Socially Engaged
,9786438806019918915,1497837311,4,date,1,47,39,902,1,66.54,Apparel,Google Men's Short Sleeve Hero Tee Light Blue,GGOEGAAC032115,15.39,1,15.39,Not Socially Engaged
,9786438806019918915,1497837311,4,date,1,47,39,902,1,66.54,Apparel,Google Men's Short Sleeve Hero Tee Charcoal,GGOEGAAJ032315,15.39,1,15.39,Not Socially Engaged
,9786438806019918915,1497837311,4,date,1,47,39,902,1,66.54,Apparel,Google Men's Short Sleeve Hero Tee Charcoal,GGOEGAAJ032317,15.39,1,15.39,Not Socially Engaged
,0968815662109493799,1497795826,2,date,1,57,36,575,1,918.52,Apparel,Google Youth Short Sleeve Tee White,GGOEGAYQ069025,19.135833333333334,12,229.63,Not Socially Engaged
,0968815662109493799,1497795826,2,date,1,57,36,575,1,918.52,Apparel,Google Youth Short Sleeve Tee White,GGOEGAYQ069026,19.135833333333334,12,229.63,Not Socially Engaged
,0968815662109493799,1497795826,2,date,1,57,36,575,1,918.52,Apparel,Google Youth Short Sleeve Tee Red,GGOEGAYR068225,19.135833333333334,12,229.63,Not Socially Engaged
,0968815662109493799,1497795826,2,date,1,57,36,575,1,918.52,Apparel,Google Youth Short Sleeve Tee Red,GGOEGAYR068226,19.135833333333334,12,229.63,Not Socially Engaged
,5341224124331711899,1497812014,1,date,1,65,34,630,1,103.23,Drinkware,Android Rise 14 oz Mug,GGOEADWQ015699,10.723333,1,10.723333,Not Socially Engaged
,5341224124331711899,1497812014,1,date,1,65,34,630,1,103.23,Bags,Sport Bag,GGOEGBMJ013399,4.323333,1,4.323333,Not Socially Engaged
